Symbol
AAPL
ABNB
ADBE
ADI
ADP
ADSK
AEP
AMAT
AMD
AMGN
AMZN
ANSS
ASML
AVGO
AZN
BIIB
BKNG
BKR
CCEP
CDNS
CDW
CEG
CHTR
CMCSA
COST
CPRT
CRWD
CSCO
CSGP
CSX
CTAS
CTSH
DASH
DDOG
DLTR
DXCM
EA
EXC
FANG
FAST
FTNT
GEHC
GFS
GILD
GOOG
GOOGL
HON
IDXX
ILMN
INTC
INTU
ISRG
KDP
KHC
KLAC
LIN
LRCX
LULU
MAR
MCHP
MDB
MDLZ
MELI
META
MNST
MRNA
MRVL
MSFT
MU
NFLX
NVDA
NXPI
ODFL
ON
ORLY
PANW
PAYX
PCAR
PDD
PEP
PYPL
QCOM
REGN
ROP
ROST
SBUX
SIRI
SNPS
TEAM
TMUS
TSLA
TTD
TTWO
TXN
VRSK
VRTX
WBA
WBD
WDAY
XEL
ZS
A
AAL
ABBV
ABT
ACGL
ACN
ADM
AEE
AES
AFL
AIG
AIZ
AJG
AKAM
ALB
ALGN
ALL
ALLE
AMCR
AME
AMP
AMT
ANET
AON
AOS
APA
APD
APH
APTV
ARE
ATO
AVB
AVY
AWK
AXON
AXP
AZO
BA
BAC
BALL
BAX
BBWI
BBY
BDX
BEN
BF.B
BG
BIO
BK
BLK
BMY
BR
BRK.B
BRO
BSX
BWA
BX
BXP
C
CAG
CAH
CARR
CAT
CB
CBOE
CBRE
CCI
CCL
CE
CF
CFG
CHD
CHRW
CI
CINF
CL
CLX
CMA
CME
CMG
CMI
CMS
CNC
CNP
COF
COO
COP
COR
CPAY
CPB
CPT
CRL
CRM
CTLT
CTRA
CTVA
CVS
CVX
CZR
D
DAL
DAY
DD
DE
DECK
DFS
DG
DGX
DHI
DHR
DIS
DLR
DOC
DOV
DOW
DPZ
DRI
DTE
DUK
DVA
DVN
EBAY
ECL
ED
EFX
EG
EIX
EL
ELV
EMN
EMR
ENPH
EOG
EPAM
EQIX
EQR
EQT
ES
ESS
ETN
ETR
ETSY
EVRG
EW
EXPD
EXPE
EXR
F
FCX
FDS
FDX
FE
FFIV
FI
FICO
FIS
FITB
FMC
FOX
FOXA
FRT
FSLR
FTV
GD
GE
GEN
GEV
GIS
GL
GLW
GM
GNRC
GPC
GPN
GRMN
GS
GWW
HAL
HAS
HBAN
HCA
HD
HES
HIG
HII
HLT
HOLX
HPE
HPQ
HRL
HSIC
HST
HSY
HUBB
HUM
HWM
IBM
ICE
IEX
IFF
INCY
INVH
IP
IPG
IQV
IR
IRM
IT
ITW
IVZ
J
JBHT
JBL
JCI
JKHY
JNJ
JNPR
JPM
K
KEY
KEYS
KIM
KMB
KMI
KMX
KO
KR
KVUE
L
LDOS
LEN
LH
LHX
LKQ
LLY
LMT
LNT
LOW
LUV
LVS
LW
LYB
LYV
MA
MAA
MAS
MCD
MCK
MCO
MDT
MET
MGM
MHK
MKC
MKTX
MLM
MMC
MMM
MO
MOH
MOS
MPC
MPWR
MRK
MRO
MS
MSCI
MSI
MTB
MTCH
MTD
NCLH
NDAQ
NDSN
NEE
NEM
NI
NKE
NOC
NOW
NRG
NSC
NTAP
NTRS
NUE
NVR
NWS
NWSA
O
OKE
OMC
ORCL
OTIS
OXY
PARA
PAYC
PCG
PEG
PFE
PFG
PG
PGR
PH
PHM
PKG
PLD
PM
PNC
PNR
PNW
PODD
POOL
PPG
PPL
PRU
PSA
PSX
PTC
PWR
QRVO
RCL
REG
RF
RHI
RJF
RL
RMD
ROK
ROL
RSG
RTX
RVTY
SBAC
SCHW
SHW
SJM
SLB
SMCI
SNA
SO
SOLV
SPG
SPGI
SRE
STE
STLD
STT
STX
STZ
SWK
SWKS
SYF
SYK
SYY
T
TAP
TDG
TDY
TECH
TEL
TER
TFC
TFX
TGT
TJX
TMO
TPR
TRGP
TRMB
TROW
TRV
TSCO
TSN
TT
TXT
TYL
UAL
UBER
UDR
UHS
ULTA
UNH
UNP
UPS
URI
USB
V
VICI
VLO
VLTO
VMC
VRSN
VST
VTR
VTRS
VZ
WAB
WAT
WDC
WEC
WELL
WFC
WM
WMB
WMT
WRB
WRK
WST
WTW
WY
WYNN
XOM
XYL
YUM
ZBH
ZBRA
ZTS
PLTR
RDDT
BABA
JD
MOMO
PDD
NIO
LI
QQQ
